Target,Pressure,R2,MAE,N_systems,Model
Tetra_ELF,50.0,0.9999947764368241,0.0001037885332324764,9,GPR
Tetra_ELF,75.0,0.9998187450307932,0.000623009332457819,9,GPR
Tetra_ELF,100.0,1.0,1.621057670813602e-10,9,GPR
Tetra_ELF,125.0,1.0,6.742307021332136e-11,9,GPR
Tetra_ELF,150.0,0.997730050037808,0.0016532678116387884,9,GPR
DelRho_AvgAtom,0.0,0.6295244793629909,7.242465123457086,8,GradientBoosting
DelRho_AvgAtom,5.0,0.7869239703086355,5.267937999440634,9,GradientBoosting
DelRho_AvgAtom,10.0,0.973613614941436,1.9129134779323098,9,GradientBoosting
DelRho_AvgAtom,15.0,0.8213187037478833,3.4756652520786813,9,GradientBoosting
DelRho_AvgAtom,20.0,0.9516809868559627,1.902629887598496,9,GradientBoosting
DelRho_AvgAtom,50.0,0.8935472689702314,2.6363082951723253,9,GradientBoosting
DelRho_AvgAtom,75.0,0.9780361076074034,1.4028015423516988,9,GradientBoosting
DelRho_AvgAtom,100.0,0.991035685945515,0.8490729706679292,9,GradientBoosting
DelRho_AvgAtom,125.0,0.9741927850346666,1.092334115330765,9,GradientBoosting
DelRho_AvgAtom,150.0,0.9380721921737186,1.075813449886842,9,GradientBoosting
DelRho_Tetra,0.0,0.9860389440719776,0.05395217257051059,8,Linear
DelRho_Tetra,5.0,0.9862662577561672,0.058135950371042355,9,Linear
DelRho_Tetra,10.0,0.9838454314562357,0.05473111379044252,9,Linear
DelRho_Tetra,15.0,0.9808790407136921,0.05749702123367563,9,Linear
DelRho_Tetra,20.0,0.9823845199709222,0.0550613617347241,9,Linear
DelRho_Tetra,50.0,0.9941496437858516,0.03660047195899562,9,Linear
DelRho_Tetra,75.0,0.9975125069017357,0.021419041174313716,9,Linear
DelRho_Tetra,100.0,0.9830965259028217,0.04291513646264823,9,Linear
DelRho_Tetra,125.0,0.9595651130486235,0.060489948679373934,9,Linear
DelRho_Tetra,150.0,0.9545208611487866,0.07290964408987193,9,Linear
DelRho_Octa,0.0,0.5998007550550248,0.14744544028374895,8,SVR
DelRho_Octa,5.0,0.7739888976044127,0.13670335751993412,9,SVR
DelRho_Octa,10.0,0.7883188656923348,0.11985683413638443,9,SVR
DelRho_Octa,15.0,0.7837939365364018,0.0960871961590973,9,SVR
DelRho_Octa,20.0,0.7678280306041463,0.0833887927305707,9,SVR
DelRho_Octa,50.0,0.45628634739699003,0.1076398826341571,9,SVR
DelRho_Octa,75.0,0.3881466433050754,0.11419686736654915,9,SVR
DelRho_Octa,100.0,0.4107067677821522,0.1449651214918591,9,SVR
DelRho_Octa,125.0,0.2892600483857779,0.20292640456132302,9,SVR
DelRho_Octa,150.0,0.21700485662984903,0.2463050808144794,9,SVR
