# Sys  At_Num  P(GPa)  Lat_Const(Å)  Vol(Å^3)  Bond_L(A)  RWIGS(Å)  Energy(eV)  Enthalpy(eV)  E-fermi(eV)  C11(GPa)  C12(GPa)  C44(GPa)  B_Mod(GPa)  Young(GPa)  Shear(GPa)  Poisson  Val_e_tot  Val_e_s  Val_e_p  Val_e_d  Val_e_f  DelRho_AvgAtom  DelRho_Tetra  DelRho_Octa  Bader_Ch  Octa_ELF  Tetra_ELF  Avg_ELF
Sr    38,38     125.00      3.0278       27.76     2.622  2.138             8.593099     30.249954    10.0023    106.54    287.44    132.27      227.14     126.86      43.18   0.4690    20.00     8.00    12.00     0.00     0.00  -1.4994e+01  2.8211e-01  5.8337e-01  0.00                  0.2102    0.2167    0.3754
Sr    38,38     150.00      2.9687       26.16     2.571  2.138             9.954544     34.449675    10.5766    226.63    414.44    152.85      351.83     159.71      54.15   0.4748    20.00     8.00    12.00     0.00     0.00  -1.5578e+01  2.8429e-01  5.5059e-01  0.00                  0.2017    0.2063    0.3827
Y     39,39       0.00      4.0241       65.16     3.485  1.815           -12.615694    -12.615694     3.1860     29.43     45.05     23.89       39.84      32.62      11.21   0.4545    22.00     6.00    12.00     4.00     0.00  1.7767e+01  2.0298e+00  2.0647e+00  0.00                  0.5633    0.6331    0.3413
Y     39,39       5.00      3.8842       58.60     3.364  1.815           -12.506584    -10.677815     3.7265     21.48     61.48     23.27       48.15      17.65       5.96   0.4796    22.00     6.00    12.00     4.00     0.00  1.9854e+01  1.9438e+00  1.9827e+00  -0.01                 0.5406    0.6003    0.3347
Y     39,39      10.00      3.7850       54.22     3.278  1.815           -12.300870     -8.916493     4.1314     10.50     81.28     22.01       57.68      -2.85      -0.95   0.5027    22.00     6.00    12.00     4.00     0.00  2.1184e+01  1.8722e+00  1.8993e+00  -0.00                 0.5127    0.5828    0.3305
Y     39,39      15.00      3.6983       50.58     3.203  1.815           -12.019062     -7.283439     4.4982     -5.17    100.35     18.89       65.18     -29.82      -9.77   0.5254    22.00     6.00    12.00     4.00     0.00  2.2216e+01  1.7931e+00  1.8116e+00  0.00                  0.4783    0.5809    0.3269
Y     39,39      20.00      3.6248       47.63     3.139  1.815           -11.695829     -5.750778     4.8264    -21.66    114.69     15.90       69.24     -54.75     -17.73   0.5439    22.00     6.00    12.00     4.00     0.00  2.3006e+01  1.7209e+00  1.7237e+00  0.00                  0.4519    0.5614    0.3244
Y     39,39      50.00      3.3436       37.38     2.896  1.815            -9.582748      2.083186     6.2819     10.17    167.13     -7.62      114.81    -111.78     -35.96   0.5541    22.00     6.00    12.00     4.00     0.00  2.4320e+01  1.4043e+00  1.3269e+00  -0.00                 0.3473    0.4594    0.3200
Y     39,39      75.00      3.2018       32.82     2.773  1.815            -7.828515      7.537005     7.1593     61.07    195.74    -11.85      150.85    -104.75     -34.04   0.5386    22.00     6.00    12.00     4.00     0.00  2.3348e+01  1.2486e+00  1.1112e+00  0.00                  0.3013    0.4038    0.3226
Y     39,39     100.00      3.0915       29.55     2.677  1.815            -6.047124     12.393954     7.9731    114.61    216.03      7.87      182.22     -47.14     -15.56   0.5144    22.00     6.00    12.00     4.00     0.00  2.0398e+01  1.0707e+00  8.2161e-01  0.00                  0.2565    0.3562    0.3266
Y     39,39     125.00      3.0114       27.31     2.608  1.815            -4.484054     16.821484     8.6160    135.82    274.51     -0.64      228.28     -85.53     -28.12   0.5208    22.00     6.00    12.00     4.00     0.00  1.8103e+01  9.5977e-01  6.6387e-01  0.00                  0.2341    0.3283    0.3315
Y     39,39     150.00      2.9481       25.62     2.553  1.815            -3.043461     20.945977     9.1603    191.32    334.87     22.31      287.02     -46.25     -15.32   0.5090    22.00     6.00    12.00     4.00     0.00  1.5897e+01  8.6458e-01  5.4205e-01  0.00                  0.2190    0.3076    0.3362
Zr    40,40       0.00      3.5620       45.19     3.085  1.625           -16.870051    -16.870051     9.0403     85.71     92.15     35.49       90.00      58.57      20.01   0.4638    24.00     6.00    12.00     6.00     0.00  1.4546e+01  1.9713e+00  1.5498e+00  0.00                  0.4062    0.5532    0.3485
Zr    40,40       5.00      3.5021       42.95     3.033  1.625           -16.824209    -15.483746     9.6286     99.23     98.86     34.94       98.98      61.66      21.04   0.4654    24.00     6.00    12.00     6.00     0.00  1.5309e+01  1.9132e+00  1.4846e+00  0.00                  0.3921    0.5437    0.3479
Zr    40,40      10.00      3.4510       41.10     2.989  1.625           -16.728229    -14.162975    10.1547    108.66    109.65     36.45      109.32      63.61      21.67   0.4677    24.00     6.00    12.00     6.00     0.00  1.5920e+01  1.8566e+00  1.4221e+00  -0.00                 0.3788    0.5338    0.3476
Zr    40,40      15.00      3.4064       39.53     2.950  1.625           -16.598560    -12.898094    10.6357    125.43    117.97     43.03      120.46      79.92      27.31   0.4631    24.00     6.00    12.00     6.00     0.00  1.6391e+01  1.8071e+00  1.3648e+00  -0.00                 0.3666    0.5246    0.3476
Zr    40,40      20.00      3.3672       38.18     2.916  1.625           -16.445175    -11.679616    11.0784    142.11    120.44     42.96      127.66      88.03      30.11   0.4617    24.00     6.00    12.00     6.00     0.00  1.6753e+01  1.7616e+00  1.3132e+00  0.00                  0.3559    0.5155    0.3478
Zr    40,40      50.00      3.1960       32.65     2.768  1.625           -15.275294     -5.087039    13.2228    217.81    167.93     70.41      184.56     151.88      52.22   0.4543    24.00     6.00    12.00     6.00     0.00  1.7478e+01  1.5440e+00  1.0536e+00  0.00                  0.3085    0.4655    0.3506
Zr    40,40      75.00      3.0991       29.76     2.684  1.625           -14.162215     -0.229213    14.5958    305.92    204.43    103.07      238.26     237.33      82.14   0.4447    24.00     6.00    12.00     6.00     0.00  1.7235e+01  1.4236e+00  8.9256e-01  0.00                  0.2842    0.4354    0.3543
Zr    40,40     100.00      3.0247       27.67     2.620  1.625           -13.026204      4.246321    15.7594    368.62    231.42    137.66      277.16     316.16     110.03   0.4366    24.00     6.00    12.00     6.00     0.00  1.6730e+01  1.3234e+00  7.5626e-01  -0.00                 0.2668    0.4115    0.3582
Zr    40,40     125.00      2.9638       26.03     2.567  1.625           -11.881195      8.430967    16.8072    428.58    279.48    155.41      329.18     354.47     123.07   0.4402    24.00     6.00    12.00     6.00     0.00  1.6008e+01  1.2258e+00  6.2022e-01  0.00                  0.2519    0.3908    0.3619
Zr    40,40     150.00      2.9140       24.74     2.524  1.625           -10.774986     12.390116    17.7265    473.73    323.80    173.80      373.77     387.34     134.27   0.4424    24.00     6.00    12.00     6.00     0.00  1.5410e+01  1.1495e+00  5.1806e-01  0.00                  0.2417    0.3753    0.3655
Nb    41,41       0.00      3.3225       36.68     2.877  1.503           -20.186731    -20.186731     4.8290    255.02    133.28     23.20      173.86     112.06      38.27   0.4642    22.00     2.00    12.00     8.00     0.00  -5.1249e+00  2.0035e+00  1.3609e+00  -0.00                 0.3688    0.5116    0.3154
Nb    41,41       5.00      3.2919       35.67     2.851  1.503           -20.170990    -19.057725     5.0553    269.44    144.61     20.83      186.22     109.93      37.46   0.4672    22.00     2.00    12.00     8.00     0.00  -5.0097e+00  1.9857e+00  1.3348e+00  0.00                  0.3650    0.5076    0.3151
Nb    41,41      10.00      3.2651       34.81     2.828  1.503           -20.130517    -17.957925     5.2581    284.18    155.48     21.76      198.38     113.92      38.80   0.4681    22.00     2.00    12.00     8.00     0.00  -4.9062e+00  1.9685e+00  1.3090e+00  0.00                  0.3614    0.5038    0.3149
Nb    41,41      15.00      3.2404       34.02     2.806  1.503           -20.069329    -16.883923     5.4479    301.86    166.23     22.48      211.44     119.30      40.62   0.4687    22.00     2.00    12.00     8.00     0.00  -4.8085e+00  1.9524e+00  1.2837e+00  0.00                  0.3579    0.5003    0.3147
Nb    41,41      20.00      3.2176       33.31     2.786  1.503           -19.991402    -15.833251     5.6290    321.04    175.95     22.88      224.31     125.59      42.75   0.4689    22.00     2.00    12.00     8.00     0.00  -4.7149e+00  1.9346e+00  1.2570e+00  -0.00                 0.3545    0.4965    0.3145
Nb    41,41      50.00      3.1103       30.09     2.694  1.503           -19.308799     -9.918909     6.5558    382.82    245.20     18.00      291.08     113.32      38.33   0.4784    22.00     2.00    12.00     8.00     0.00  -4.2476e+00  1.8380e+00  1.1134e+00  0.00                  0.3365    0.4776    0.3138
Nb    41,41      75.00      3.0434       28.19     2.636  1.503           -18.572959     -5.377674     7.1929    491.75    288.90     40.58      356.52     190.89      64.92   0.4703    22.00     2.00    12.00     8.00     0.00  -3.9210e+00  1.7535e+00  1.0005e+00  -0.00                 0.3232    0.4635    0.3133
Nb    41,41     100.00      2.9899       26.73     2.589  1.503           -17.779218     -1.097318     7.7676    583.84    331.27     62.96      415.46     258.75      88.29   0.4654    22.00     2.00    12.00     8.00     0.00  -3.6487e+00  1.6736e+00  9.0208e-01  0.00                  0.3120    0.4510    0.3132
Nb    41,41     125.00      2.9456       25.56     2.551  1.503           -16.959525      2.979440     8.3035    701.02    367.44    112.70      478.63     390.81     134.33   0.4546    22.00     2.00    12.00     8.00     0.00  -3.4070e+00  1.6207e+00  8.3664e-01  0.00                  0.3032    0.4431    0.3135
Nb    41,41     150.00      2.9076       24.58     2.518  1.503           -16.123974      6.888818     8.7843    817.39    409.39    157.70      545.39     510.34     176.22   0.4480    22.00     2.00    12.00     8.00     0.00  -3.1892e+00  1.5717e+00  7.7780e-01  -0.00                 0.2954    0.4359    0.3139
Mo    42,42       0.00      3.1593       31.53     2.736  1.455           -21.847085    -21.847085    12.0438    470.09    158.91    103.81      262.64     354.87     124.52   0.4249    24.00     2.00    12.00    10.00     0.00  -6.7480e+00  2.1144e+00  1.3514e+00  -0.00                 0.3609    0.4830    0.3213
Mo    42,42       5.00      3.1402       30.96     2.719  1.455           -21.838147    -20.871844    12.3332    465.93    181.05    100.39      276.01     335.78     117.21   0.4324    24.00     2.00    12.00    10.00     0.00  -6.6627e+00  2.1181e+00  1.3468e+00  0.00                  0.3601    0.4830    0.3217
Mo    42,42      10.00      3.1221       30.43     2.704  1.455           -21.813153    -19.913752    12.6125    491.21    191.49    107.38      291.39     356.23     124.37   0.4321    24.00     2.00    12.00    10.00     0.00  -6.5792e+00  2.1214e+00  1.3418e+00  -0.00                 0.3593    0.4829    0.3220
Mo    42,42      15.00      3.1057       29.96     2.690  1.455           -21.775890    -18.971352    12.8682    518.32    200.11    115.18      306.18     379.95     132.75   0.4311    24.00     2.00    12.00    10.00     0.00  -6.5034e+00  2.1252e+00  1.3377e+00  0.00                  0.3586    0.4831    0.3224
Mo    42,42      20.00      3.0904       29.51     2.676  1.455           -21.727671    -18.043398    13.1256    547.27    207.76    123.81      320.93     406.55     142.19   0.4296    24.00     2.00    12.00    10.00     0.00  -6.4241e+00  2.1265e+00  1.3342e+00  0.00                  0.3582    0.4830    0.3227
Mo    42,42      50.00      3.0136       27.37     2.610  1.455           -21.270843    -12.729775    14.4429    672.46    267.06    157.72      402.19     502.74     175.71   0.4306    24.00     2.00    12.00    10.00     0.00  -6.0192e+00  2.1230e+00  1.2916e+00  0.01                  0.3524    0.4813    0.3241
Mo    42,42      75.00      2.9638       26.03     2.567  1.455           -20.754627     -8.567354    15.3748    789.91    309.13    188.25      469.39     597.74     209.11   0.4293    24.00     2.00    12.00    10.00     0.00  -5.7321e+00  2.1110e+00  1.2488e+00  0.00                  0.3469    0.4798    0.3250
Mo    42,42     100.00      2.9216       24.94     2.530  1.455           -20.157771     -4.592961    16.2009    882.31    351.33    218.95      528.32     678.78     237.56   0.4286    24.00     2.00    12.00    10.00     0.00  -5.4685e+00  2.0844e+00  1.2041e+00  0.00                  0.3417    0.4764    0.3255
Mo    42,42     125.00      2.8849       24.01     2.498  1.455           -19.505955     -0.774277    16.9260    944.72    393.37    238.81      577.16     725.25     253.55   0.4302    24.00     2.00    12.00    10.00     0.00  -5.2182e+00  2.0493e+00  1.1538e+00  0.00                  0.3360    0.4723    0.3259
Mo    42,42     150.00      2.8534       23.23     2.471  1.455           -18.840359      2.910274    17.5766   1021.99    446.76    261.59      638.50     779.13     272.00   0.4322    24.00     2.00    12.00    10.00     0.00  -5.0110e+00  2.0224e+00  1.1211e+00  0.00                  0.3322    0.4692    0.3264
Tc    43,43       0.00      3.0754       29.09     2.663  1.423           -20.195045    -20.195045    13.0135    286.62    294.89    128.52      292.13     220.05      75.46   0.4582    26.00     2.00    12.00    12.00     0.00  -7.2651e+00  1.8341e+00  1.3013e+00  0.00                  0.3448    0.4018    0.3280
Tc    43,43       5.00      3.0612       28.69     2.651  1.423           -20.187604    -19.292398    13.2583    303.65    312.19    135.14      309.34     231.53      79.38   0.4584    26.00     2.00    12.00    12.00     0.00  -7.2234e+00  1.8411e+00  1.3016e+00  0.00                  0.3449    0.4030    0.3290
Tc    43,43      10.00      3.0436       28.20     2.636  1.423           -20.162974    -18.403178    13.5670    323.64    327.47    143.35      326.19     248.52      85.25   0.4577    26.00     2.00    12.00    12.00     0.00  -7.1680e+00  1.8491e+00  1.3014e+00  -0.00                 0.3449    0.4043    0.3301
Tc    43,43      15.00      3.0310       27.85     2.625  1.423           -20.134664    -17.527637    13.7927    339.24    342.73    151.28      341.57     262.52      90.07   0.4573    26.00     2.00    12.00    12.00     0.00  -7.1261e+00  1.8544e+00  1.3007e+00  0.00                  0.3448    0.4053    0.3310
Tc    43,43      20.00      3.0163       27.44     2.612  1.423           -20.089630    -16.663922    14.0612    356.99    361.38    160.12      359.92     277.43      95.20   0.4572    26.00     2.00    12.00    12.00     0.00  -7.0755e+00  1.8600e+00  1.2989e+00  -0.00                 0.3447    0.4063    0.3319
Tc    43,43      50.00      2.9493       25.65     2.554  1.423           -19.701817    -11.695629    15.3394    415.90    463.86    186.80      447.88     299.85     102.49   0.4628    26.00     2.00    12.00    12.00     0.00  -6.8107e+00  1.8790e+00  1.2870e+00  0.00                  0.3433    0.4103    0.3362
Tc    43,43      75.00      2.9058       24.54     2.517  1.423           -19.266619     -7.781104    16.2240    491.69    543.38    220.11      526.15     356.03     121.73   0.4624    26.00     2.00    12.00    12.00     0.00  -6.6138e+00  1.8829e+00  1.2710e+00  -0.00                 0.3417    0.4120    0.3390
Tc    43,43     100.00      2.8680       23.59     2.484  1.423           -18.751942     -4.027244    17.0295    555.94    599.67    250.50      585.09     413.55     141.56   0.4607    26.00     2.00    12.00    12.00     0.00  -6.4148e+00  1.8750e+00  1.2514e+00  0.00                  0.3402    0.4121    0.3413
Tc    43,43     125.00      2.8360       22.81     2.456  1.423           -18.202966     -0.406918    17.7457    593.47    682.72    258.08      652.97     401.63     137.00   0.4658    26.00     2.00    12.00    12.00     0.00  -6.2362e+00  1.8635e+00  1.2298e+00  -0.00                 0.3382    0.4116    0.3433
Tc    43,43     150.00      2.8073       22.12     2.431  1.423           -17.615423      3.098573    18.4080    649.70    746.39    287.10      714.16     448.11     152.92   0.4651    26.00     2.00    12.00    12.00     0.00  -6.0726e+00  1.8524e+00  1.2095e+00  0.00                  0.3363    0.4113    0.3452
